WORD,VALIDITY,TYPE,BLOCK,SUBBLOCK
watch,word,english,A,1
press,word,english,A,1
sources,word,english,A,1
freedom,word,english,A,1
product,word,english,A,1
generally,word,english,A,1
seems,word,english,A,1
clone,word,english,A,1
words,word,english,A,1
articles,word,english,A,1
outside,word,english,A,1
become,word,english,A,1
project,word,english,A,1
following,word,english,A,1
numbers,word,english,A,1
trying,word,english,A,1
known,word,english,A,1
excellent,word,english,A,1
needs,word,english,A,1
drive,word,english,A,1
welfare,word,english,A,1
message,word,english,A,1
willing,word,english,A,1
certainly,word,english,A,1
location,word,english,A,1
watch,,english,A,1
press,word,english,A,1
sources,word,english,A,1
freedom,word,english,A,1
product,word,english,A,1
generally,word,english,A,1
seems,word,english,A,1
clone,word,english,A,1
words,word,english,A,1
articles,word,english,A,1
outside,word,english,A,1
become,word,english,A,1
project,word,english,A,1
following,word,english,A,1
numbers,word,english,A,1
trying,word,english,A,1
known,word,english,A,1
excellent,word,english,A,1
needs,word,english,A,1
drive,word,english,A,1
welfare,word,english,A,1
message,word,english,A,1
willing,word,english,A,1
certainly,word,english,A,1
location,word,english,A,1
making,word,english,A,1
species,word,english,A,1
request,word,english,A,1
science,word,english,A,1
solution,word,english,A,1
living,word,english,A,1
under,word,english,A,1
study,word,english,A,1
reference,word,english,A,1
trade,word,english,A,1
green,word,english,A,1
takes,word,english,A,1
exactly,word,english,A,1
address,word,english,A,1
offer,word,english,A,1
report,word,english,A,1
table,word,english,A,1
income,word,english,A,1
material,word,english,A,1
today,word,english,A,1
systems,word,english,A,1
because,word,english,A,1
political,word,english,A,1
weeks,word,english,A,1
energy,word,english,A,1
great,word,english,A,1
needed,word,english,A,1
advance,word,english,A,1
capital,word,english,A,1
contact,word,english,A,1
rules,word,english,A,1
digital,word,english,A,1
force,word,english,A,1
guess,word,english,A,1
increase,word,english,A,1
physical,word,english,A,1
natural,word,english,A,1
ability,word,english,A,1
hospital,word,english,A,1
attempt,word,english,A,1
support,word,english,A,1
young,word,english,A,1
monitor,word,english,A,1
south,word,english,A,1
meaning,word,english,A,1
street,word,english,A,1
music,word,english,A,1
security,word,english,A,1
medical,word,english,A,1
power,word,english,A,1
always,word,english,A,1
shows,word,english,A,1
though,word,english,A,1
painting,word,english,A,1
average,word,english,A,1
using,word,english,A,1
skills,word,english,A,1
water,word,english,A,1
resources,word,english,A,1
likely,word,english,A,1
military,word,english,A,1
evidence,word,english,A,1
mailing,word,english,A,1
brain,word,english,A,1
along,word,english,A,1
found,word,english,A,1
friend,word,english,A,1
manager,word,english,A,1
limited,word,english,A,1
records,word,english,A,1
model,word,english,A,1
million,word,english,A,1
field,word,english,A,1
private,word,english,A,1
respond,word,english,A,1
called,word,english,A,1
story,word,english,A,1
myself,word,english,A,1
failure,word,english,A,1
command,word,english,A,1
sound,word,english,A,1
resource,word,english,A,1
playing,word,english,A,1
strong,word,english,A,1
whether,word,english,A,1
pages,word,english,A,1
front,word,english,A,1
effect,word,english,A,1
looks,word,english,A,1
attention,word,english,A,1
cases,word,english,A,1
comment,word,english,A,1
lines,word,english,A,1
necessary,word,english,A,1
store,word,english,A,1
resume,word,english,A,1
change,word,english,A,1
black,word,english,A,1
issue,word,english,A,1
appears,word,english,A,1
direction,word,english,A,1
quickly,word,english,A,1
anyone,word,english,A,1
sequence,word,english,A,1
blood,word,english,A,1
popular,word,english,A,1
available,word,english,A,1
means,word,english,A,1
names,word,english,A,1
alone,word,english,A,1
subject,word,english,A,1
section,word,english,A,1
attitude,word,english,A,1
present,word,english,A,1
between,word,english,A,1
proposal,word,english,A,1
section,word,english,A,1
doubt,word,english,A,1
therefore,word,english,A,1
period,word,english,A,1
course,word,english,A,1
questions,word,english,A,1
learn,word,english,A,1
contract,word,english,A,1
minutes,word,english,A,1
surface,word,english,A,1
option,word,english,A,1
apartment,word,english,A,1
country,word,english,A,1
having,word,english,A,1
agree,word,english,A,1
taken,word,english,A,1
vhatevar,non_word,english,A,2
tabel,non_word,english,A,2
brundal,non_word,english,A,2
fethers,non_word,english,A,2
folwing,non_word,english,A,2
lowar,non_word,english,A,2
anonimus,non_word,english,A,2
skillis,non_word,english,A,2
vvhite,non_word,english,A,2
whrong,non_word,english,A,2
twib,non_word,english,A,2
isue,non_word,english,A,2
commuty,non_word,english,A,2
flind,non_word,english,A,2
avobe,non_word,english,A,2
becuase,non_word,english,A,2
sorces,non_word,english,A,2
naturul,non_word,english,A,2
idaes,non_word,english,A,2
starteng,non_word,english,A,2
gristone,non_word,english,A,2
outcide,non_word,english,A,2
crindle,non_word,english,A,2
efect,non_word,english,A,2
wemen,non_word,english,A,2
neels,non_word,english,A,2
thingle,non_word,english,A,2
grumple,non_word,english,A,2
wiling,non_word,english,A,2
drubble,non_word,english,A,2
prezent,non_word,english,A,2
briff,non_word,english,A,2
smille,non_word,english,A,2
blidge,non_word,english,A,2
neans,non_word,english,A,2
mitilar,non_word,english,A,2
driwe,non_word,english,A,2
detales,non_word,english,A,2
stope,non_word,english,A,2
plag,non_word,english,A,2
glape,non_word,english,A,2
krindel,non_word,english,A,2
tryine,non_word,english,A,2
naybe,non_word,english,A,2
blakc,non_word,english,A,2
frundle,non_word,english,A,2
wile,non_word,english,A,2
physicel,non_word,english,A,2
digetal,non_word,english,A,2
laern,non_word,english,A,2
decieded,non_word,english,A,2
prorame,non_word,english,A,2
chreltor,non_word,english,A,2
learly,non_word,english,A,2
spik,non_word,english,A,2
dowbt,non_word,english,A,2
litsts,non_word,english,A,2
grintle,non_word,english,A,2
includse,non_word,english,A,2
kight,non_word,english,A,2
chlone,non_word,english,A,2
litimed,non_word,english,A,2
drivors,non_word,english,A,2
ucing,non_word,english,A,2
sland,non_word,english,A,2
glispen,non_word,english,A,2
seemes,non_word,english,A,2
